nsrId,onlyInputInvoice,onlyInputInvoice,inputNodeclareOverOne,outputNodeclareOverOne,taxChangeRate,label
101481,Yes,No,No,No,上月无税负,1
101628,No,Yes,Yes,No,正常,1
102466,No,No,No,No,上月无税负,1
106157,No,Yes,Yes,No,正常,1
111861,No,Yes,Yes,No,正常,1
112865,No,Yes,No,No,上月无税负,1
11444,Yes,No,No,No,上月无税负,1
115640,No,No,No,Yes,上月无税负,1
118201,Yes,No,No,No,上月无税负,1
118621,No,No,Yes,Yes,上月无税负,1
121487,No,Yes,No,No,上月无税负,1
123332,No,Yes,Yes,No,正常,1
124659,No,Yes,No,No,上月无税负,1
125379,No,Yes,No,No,上月无税负,1
125765,No,Yes,No,No,上月无税负,1
12628,No,Yes,No,No,上月无税负,1
128138,No,No,No,No,正常,1
130161,No,Yes,No,No,上月无税负,1
131515,No,No,Yes,Yes,上月无税负,1
131516,Yes,No,No,No,上月无税负,1
134456,Yes,No,No,No,上月无税负,1
137822,No,Yes,Yes,No,上月无税负,1
138799,No,Yes,No,No,上月无税负,1
145569,No,No,Yes,Yes,正常,1
149578,No,Yes,No,No,上月无税负,1
155523,No,Yes,No,No,上月无税负,1
156733,No,Yes,No,No,上月无税负,1
157030,No,No,Yes,Yes,上月无税负,1
157044,No,Yes,No,No,上月无税负,1
162761,Yes,No,No,No,上月无税负,1
164555,No,No,Yes,Yes,正常,1
168790,No,Yes,No,No,上月无税负,1
169481,No,Yes,No,No,上月无税负,1
170439,Yes,No,No,No,上月无税负,1
173017,Yes,No,No,No,上月无税负,1
173138,No,Yes,No,No,上月无税负,1
173307,Yes,No,No,No,上月无税负,1
174927,No,No,No,No,上月无税负,1
176951,No,No,No,No,上月无税负,1
179193,No,Yes,No,No,上月无税负,1
17995,Yes,No,No,No,正常,1
180874,No,Yes,No,No,上月无税负,1
182701,No,Yes,No,No,上月无税负,1
185598,No,Yes,No,No,上月无税负,1
186422,No,Yes,No,No,上月无税负,1
18887,No,Yes,No,No,上月无税负,1
189554,No,No,No,No,上月无税负,1
192833,Yes,No,No,Yes,正常,1
19323,No,No,Yes,No,正常,1
193461,No,Yes,No,No,正常,1
19612,No,No,Yes,No,上月无税负,1
196153,No,Yes,No,No,上月无税负,1
200169,No,Yes,No,No,上月无税负,1
200793,No,No,No,No,上月无税负,1
201786,No,Yes,No,No,上月无税负,1
201895,Yes,No,No,No,上月无税负,1
201956,Yes,No,No,No,正常,1
202158,No,Yes,No,No,上月无税负,1
203681,Yes,No,No,No,上月无税负,1
204218,No,Yes,No,No,上月无税负,1
211781,No,Yes,No,No,上月无税负,1
21186,No,Yes,No,No,上月无税负,1
212833,Yes,No,No,No,上月无税负,1
215494,No,Yes,No,No,上月无税负,1
215903,Yes,No,No,No,上月无税负,1
216252,No,Yes,No,No,上月无税负,1
216874,No,Yes,No,No,上月无税负,1
218759,No,Yes,No,No,上月无税负,1
221233,No,No,Yes,No,上月无税负,1
223058,Yes,No,No,No,上月无税负,1
223301,No,Yes,No,No,上月无税负,1
223540,No,Yes,No,No,上月无税负,1
224698,No,Yes,No,No,正常,1
226494,No,Yes,No,No,上月无税负,1
227915,No,No,Yes,No,上月无税负,1
230825,No,Yes,Yes,No,正常,1
230870,No,Yes,No,No,上月无税负,1
232156,Yes,No,No,No,上月无税负,1
233702,No,Yes,No,No,上月无税负,1
234462,Yes,No,No,No,上月无税负,1
234849,No,Yes,Yes,No,正常,1
238252,No,Yes,No,No,上月无税负,1
238756,No,Yes,No,No,上月无税负,1
239218,Yes,No,No,No,上月无税负,1
241576,No,Yes,No,No,上月无税负,1
243023,No,Yes,No,No,上月无税负,1
244029,No,Yes,No,No,上月无税负,1
24731,No,Yes,No,No,上月无税负,1
250764,No,Yes,No,No,上月无税负,1
250996,No,Yes,No,No,上月无税负,1
253744,No,Yes,No,No,上月无税负,1
257122,Yes,No,No,No,上月无税负,1
258012,No,No,No,Yes,上月无税负,1
258961,No,Yes,No,No,上月无税负,1
260232,No,No,No,No,正常,1
262337,No,Yes,No,No,上月无税负,1
262515,No,Yes,No,No,上月无税负,1
26427,No,Yes,Yes,No,上月无税负,1
272146,No,Yes,Yes,No,上月无税负,1
273686,No,Yes,Yes,No,正常,1
275662,No,Yes,No,No,正常,1
27569,No,Yes,No,No,正常,1
276803,No,No,No,No,上月无税负,1
279018,Yes,No,No,No,上月无税负,1
280607,No,Yes,No,No,上月无税负,1
281636,No,Yes,No,No,上月无税负,1
281707,No,Yes,No,No,上月无税负,1
281732,Yes,No,No,No,上月无税负,1
285041,No,Yes,No,No,上月无税负,1
286797,No,Yes,No,No,正常,1
28709,No,Yes,Yes,No,正常,1
291366,No,Yes,Yes,No,上月无税负,1
291489,No,Yes,No,No,上月无税负,1
2944,No,Yes,No,No,上月无税负,1
296824,No,Yes,Yes,No,上月无税负,1
296841,No,Yes,No,No,上月无税负,1
305343,No,Yes,No,No,上月无税负,1
306193,Yes,No,No,No,上月无税负,1
308142,No,Yes,Yes,No,正常,1
308363,No,Yes,No,No,上月无税负,1
310259,No,Yes,Yes,No,正常,1
311594,No,Yes,Yes,No,正常,1
315894,Yes,No,No,No,上月无税负,1
316176,No,Yes,No,No,上月无税负,1
319492,Yes,No,No,No,上月无税负,1
321343,No,No,Yes,No,上月无税负,1
32332,No,Yes,No,No,上月无税负,1
324709,No,Yes,No,No,正常,1
326341,No,Yes,No,No,正常,1
328332,No,Yes,No,No,上月无税负,1
330666,No,Yes,No,No,上月无税负,1
331165,No,Yes,No,No,正常,1
33319,Yes,No,No,No,正常,1
334832,No,Yes,Yes,No,异常,1
335184,No,Yes,No,No,上月无税负,1
337175,No,Yes,No,No,上月无税负,1
3507,No,Yes,No,No,上月无税负,1
35129,Yes,No,No,Yes,正常,1
3857,Yes,No,No,No,上月无税负,1
43843,No,No,No,No,上月无税负,1
